unique_hash,sentiment
9e9a8166b84114aca147bf409f6f956635034c08,0
e747e6822c867571afe7b907b51f0f2ca67b0e1a,0
50b6d851bcff4f35afe354937949e9948975adf7,0
7f82ec2176ae6ab0b5d20b5ffc767ac829f384ae,0
8b37d169dee5bdae27060949242fb54feb6a7f7f,0
b1950d27d94ceff4e9bf8c7d1fd4b11b35ede4d7,0
abafc5b6c5aac6f777cf265e5c7dd80fb793e6bc,0
e5550693e72a8335d723ca5fc64da91e1256fb0b,0
ee8c500f6402331ff12b0b29d943b6d1699a0b8d,0
d261600ba4fc022fac12748845deed56822ff195,1
ed1836e3e3597568a9b3d58dcfe8ed7143bba4bd,0
4b63c92b430a34abdc659a2ceee6fb353a759502,0
c046fc70caab19d74271855afa4b0fce56eed65d,0
7e6cd0d963891627f809b8b3430817dc08a4671e,0
c1db106d5edc8db4a139acd3532e137903b88dfe,0
58bb0752dd7b4835195f27c975bf4ec27dbf5d06,0
17158941d16c145b692b65acdc0098d7cde98fd1,1
245536722a649761b30a740031040a937d8b3e0e,0
a62ee194c75afeb7527adc2ac3fc1bf4861b818d,0
3b792ab6f0d8cbd690fffd1361c23b6638d47219,1
08837b701a4b7c06272d2205ba3a0a2bb9fc8435,0
4c8c81babeb983eb8b420a0f6d49b7eb0e230c8b,1
8019e9a28546fa0e1887844aa8479301e2750986,0
fc74b89e8dd0cc22ab96dad95a488358230fe3f3,0
165f60e24b14b3b0ee19e4334701fbee7a06cc1f,1
f1fd1bed04c41117a2c51af38463a6cdfe483325,0
20144ae5f449aa112467d7622d484c7d2fcbc622,0
a1ceb5f6d0b925186d194bdd155f27c6ab16a217,0
cc2872fbb66ec3d00e2bc894571246a645055429,1
4c327cd2d678ff430a4489d1b43698d60d73abcf,1
d30fd3c831a24117a682952da7cb1c399939dd40,0
edbb041453b0baf7669b84be96410e6dd15fb66f,1
d0e127881155aa53acef8e216c822e62e0f23ccb,0
18fe87a3362bca743bc09883e03e1089ac3b3ec8,0
585ea21f3a35ec48116896fe1bfb92c25781b23c,0
b3cf4581b33a7e206acdff72c2c77b27e8cdc33c,0
344a0cc6ce9512477f12b12e76c6de4507c3f04f,0
c16be36202e17206de839c931129dbe40a4f529f,0
813d5b345b2685a463e4c00086d00b4a672caa06,0
a57be78d0945f27bc9159248257858cc688ad11b,0
58a5baf5f461103884a1141888ad56400f2df58b,0
56ed97f7019c1ec018324583246f29460b072d6c,0
5beab429a30a4cbc991b4bd412822fc6827599b4,0
e4b8a2c8442578be126011fb53ec578b401c5195,0
c7369703388907de3d1d82785c3fcff8256f8489,0
b884cc944d61e8db860dfca3d86a2ceb0ed6f268,0
7135d48357262833e88cb7269060da06660cbe08,0
829c65349a038fe232d6fd7941938f2cdd047b0d,0
824c13804d418d57411779a56222cc4e89905530,0
a897b32296fbaef1a724f68c994dddd23d7bee9e,1
30301a9ca29c475aecdc18387a1340fe146c6f73,0
45ee6b6b435f516c0804fcd5b0248f34b7398332,0
815303b3e560d6d0cd80daa21cf8fff7b9302f15,0
e5116f79e2e53601a67861344ffb375d23bccaba,0
6cff04f207455085cdce32ed6adbd3c95616bb04,0
cc76da01f73bee28857459b0e65f264f251c2589,0
f2b6244caed5d155837531a631b870f4efbdb3a2,0
20707566e9c06d46685ff47a6ab8d949eb1320f1,1
2f962ceb02a1a430f7d54162038825c521aafe72,0
f31bced85927c581c8c9a1afd1371f603ff2b3a9,0
5223cdaa8d259f7232db72bd5b91a708567ed855,0
f10cb2c088b1db3bfc3414f9f5b9ae2878d125a8,0
d775cdbdcbc51f809f282af380f80f6dbaa7b79c,1
26ce87fab24538e6b0c46e1a8172ef047cbb4564,0
0a0a3a49a9f57a069daafefb88f3effa117c33d1,0
30a680d343908f827613f956dcb44b3841930c3f,0
113dfe8c47fbe6f9421e24607f72fb8dda83933a,0
a7c19bc4ab20ec44c97e3c69d604d1cdb4347056,0
eeed9a8e13ac71f4bf74f727ee1944bfc6b59411,1
2c55f9de693c235542ae2c98ec7d64420f2f9550,0
da066bb43dc5456bea32ff51c9026bfcb8ae1ef3,0
10ead55d4c3f535ab9b28eee0e9d7dba4c185bcd,0
db64ebe2f86df82983d8d902cd0bff54159fbd93,0
c53aad8f488668d1a18f2060e2e217bebe8ebf98,0
bb24d77e0a92bbfc611bb15c5fc826735b89e82c,0
74368f0ad084d748b4ff3b9237f25e86484727f4,0
f4fa9c379b4fc900cc3b51652994d96dc73e130a,0
84cf26918785f8877635fca600f72e9be51207ba,0
d16fba57c2233ea1fc13892cbc8ed669081e15b8,0
14a7965fd65d774e75af677a80202278c4f5baa5,1
5cfdeb301f1dcf709e1054943c6b9b4b75661902,0
73bee492244af86083b00b5e29f4fc3bc3632b29,0
01d204e9818d78e599b98d0c08ddc21639fa9c19,0
