,bank,bike,bike loan,business,business services,consumer,consumer durable,durable,durable loan,finance,financial,financial services,furniture,furniture loan,home,home loan,housing,housing finance,insurance,investor,loan,mobile,mobile loan,personal,personal loan,services,wheeler,wheeler loan
20,0.28848637743851135,0.0,0.0,0.0,0.0,0.28848637743851135,0.0,0.0,0.0,0.0,0.28848637743851135,0.0,0.0,0.0,0.28848637743851135,0.28848637743851135,0.28848637743851135,0.0,0.28848637743851135,0.28848637743851135,0.14758230970081432,0.28848637743851135,0.0,0.28848637743851135,0.28848637743851135,0.250501840751372,0.0,0.0
56,0.0,0.0,0.0,0.2914856323350768,0.0,0.0,0.0,0.0,0.0,0.614606510027335,0.2914856323350768,0.2914856323350768,0.0,0.0,0.7078016077490275,0.0,0.2914856323350768,0.2914856323350768,0.7078016077490275,0.7078016077490275,0.36209334045180663,0.2914856323350768,0.0,0.7078016077490275,0.0,0.614606510027335,0.0,0.0
11,0.36495379193576294,0.0,0.0,0.8810763941308075,0.0,0.0,0.0,0.0,0.0,0.3169009139386058,0.36495379193576294,0.36495379193576294,0.0,0.0,0.8810763941308075,0.0,0.0,0.0,0.36495379193576294,0.0,0.0,0.5161226021950446,0.0,0.0,0.0,0.7650664843590111,0.0,0.0
70,0.7671114307806618,0.0,0.0,0.2671114307806618,0.0,0.2671114307806618,0.2671114307806618,0.2671114307806618,0.0,0.23194129889391474,0.7671114307806618,0.0,0.0,0.0,0.7671114307806618,0.0,0.2671114307806618,0.0,0.2671114307806618,0.2671114307806618,0.13664742942845376,0.7671114307806618,0.0,0.2671114307806618,0.0,0.0,0.2671114307806618,0.0
55,0.4709860747910019,0.0,0.0,0.4709860747910019,0.0,0.0,0.0,0.0,0.0,0.40897209688369596,0.4709860747910019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40897209688369596,0.0,0.0
27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.39962585058179373,0.0,0.0,0.8165097085815187,0.0,0.39962585058179373,0.0,0.0,0.0,0.0,0.8165097085815187,0.0,0.0,0.0,0.8165097085815187,0.0,0.0,0.0,0.39962585058179373,0.416883857999725,0.20443844374448591,0.416883857999725,0.0,0.0,0.0,0.36199343184141575,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.4709860747910019,0.0,0.0,0.4709860747910019,0.0,0.0,0.0,0.0,0.0,0.40897209688369596,0.4709860747910019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40897209688369596,0.0,0.0
61,0.0,0.4848472969172172,0.4848472969172172,0.4848472969172172,0.0,0.4848472969172172,0.4848472969172172,0.4848472969172172,0.4848472969172172,0.42100823421715,0.0,0.0,0.4848472969172172,0.4848472969172172,0.4848472969172172,0.0,0.0,0.0,0.0,0.0,0.2480355730020243,0.4848472969172172,0.4848472969172172,0.4848472969172172,0.4848472969172172,0.0,0.4848472969172172,0.4848472969172172
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49902110842404696,0.0,0.0,0.0,1.499021108424047,0.0,0.0,0.0,0.0,0.0,0.2552865352762751,0.49902110842404696,0.0,0.0,0.0,0.43331580279092297,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7873475624965239,0.0,0.0,0.0,0.0,0.9067360359842787,0.9067360359842787,0.40771492756023175,0.40771492756023175,0.0,0.9067360359842787,0.46386314552423835,0.0,0.0,0.0,0.0,0.0,0.0,0.0
